iter	Passed	Remaining
424	2124	2874
425	2128	2868
426	2132	2861
427	2136	2855
428	2141	2850
429	2145	2843
430	2149	2837
431	2153	2832
432	2158	2826
433	2163	2821
434	2169	2817
435	2176	2815
436	2182	2811
437	2189	2808
438	2194	2804
439	2199	2799
440	2206	2796
441	2212	2792
442	2217	2788
443	2222	2783
444	2227	2778
445	2233	2774
446	2238	2769
447	2244	2765
448	2251	2762
449	2258	2760
450	2266	2759
451	2321	2815
452	2345	2831
453	2364	2843
454	2374	2843
455	2386	2846
456	2391	2842
457	2398	2838
458	2405	2834
459	2410	2829
460	2417	2826
461	2421	2819
462	2425	2813
463	2431	2809
464	2437	2803
465	2443	2800
466	2449	2795
467	2453	2789
468	2457	2782
469	2462	2776
470	2468	2772
471	2475	2769
472	2481	2764
473	2487	2760
474	2492	2755
475	2498	2750
476	2502	2743
477	2508	2739
478	2514	2734
479	2519	2729
480	2524	2723
481	2529	2717
482	2533	2712
483	2538	2706
484	2543	2700
485	2548	2695
486	2552	2688
487	2556	2682
488	2562	2677
489	2566	2671
490	2570	2665
491	2576	2659
492	2580	2654
493	2585	2648
494	2589	2642
495	2594	2636
496	2600	2631
497	2605	2626
498	2610	2621
499	2614	2614
500	2619	2608
501	2624	2603
502	2629	2597
503	2634	2592
504	2640	2588
505	2645	2582
506	2651	2578
507	2657	2573
508	2662	2568
509	2668	2563
510	2674	2559
511	2681	2555
512	2690	2554
513	2696	2549
514	2701	2543
515	2706	2539
516	2712	2533
517	2717	2528
518	2723	2524
519	2731	2521
520	2739	2518
521	2744	2512
522	2749	2507
523	2756	2503
524	2762	2499
525	2767	2494
526	2774	2489
527	2781	2486
528	2789	2483
529	2794	2478
530	2799	2472
531	2804	2467
532	2809	2461
533	2817	2458
534	2823	2453
535	2828	2448
536	2834	2444
537	2839	2438
538	2844	2433
539	2864	2440
540	2869	2434
541	2874	2428
542	2881	2424
543	2890	2423
544	2896	2418
545	2905	2415
546	2911	2411
547	2918	2407
548	2926	2403
549	2932	2399
550	2938	2394
551	2944	2389
552	2950	2384
553	2956	2380
554	2963	2375
555	2967	2369
556	2972	2364
557	2976	2358
558	2983	2353
559	2988	2347
560	2992	2341
561	2998	2337
562	3003	2331
563	3008	2325
564	3014	2320
565	3018	2314
566	3022	2308
567	3028	2303
568	3034	2298
569	3039	2292
570	3046	2289
571	3051	2283
572	3055	2277
573	3062	2273
574	3067	2267
575	3071	2261
576	3077	2256
577	3089	2255
578	3094	2250
579	3098	2244
580	3102	2237
581	3110	2233
582	3115	2228
583	3119	2222
584	3125	2217
585	3128	2210
586	3132	2204
587	3136	2197
588	3142	2192
589	3149	2188
590	3154	2182
591	3159	2177
592	3163	2171
593	3167	2165
594	3172	2159
595	3177	2153
596	3181	2147
597	3186	2141
598	3190	2135
599	3194	2129
600	3199	2124
601	3204	2118
602	3209	2112
603	3213	2107
604	3218	2101
605	3225	2096
606	3230	2091
607	3235	2086
608	3239	2080
609	3243	2073
610	3247	2067
611	3251	2061
612	3257	2056
613	3260	2049
614	3264	2043
615	3268	2037
616	3273	2031
617	3278	2026
618	3282	2020
619	3288	2015
620	3295	2011
621	3301	2006
622	3306	2001
623	3311	1995
624	3317	1990
625	3322	1985
626	3328	1980
627	3335	1975
628	3341	1970
629	3345	1965
630	3350	1959
631	3355	1953
632	3361	1948
633	3366	1943
634	3372	1938
635	3376	1932
636	3382	1927
637	3388	1922
638	3394	1917
639	3400	1913
640	3408	1909
641	3416	1904
642	3422	1900
643	3428	1895
644	3435	1890
645	3440	1885
646	3446	1880
647	3454	1876
648	3460	1871
649	3466	1866
650	3473	1862
651	3479	1857
652	3486	1852
653	3492	1847
654	3498	1842
655	3503	1836
656	3509	1832
657	3514	1826
658	3519	1821
659	3525	1816
660	3530	1810
661	3536	1805
662	3542	1800
663	3547	1794
664	3552	1789
665	3558	1784
666	3563	1778
667	3568	1773
668	3575	1768
669	3580	1763
670	3584	1757
671	3590	1752
672	3596	1747
673	3604	1743
674	3611	1738
675	3615	1733
676	3620	1727
677	3625	1722
678	3630	1716
679	3634	1710
680	3639	1704
681	3644	1699
682	3648	1693
683	3653	1687
684	3658	1682
685	3662	1676
686	3665	1670
687	3670	1664
688	3675	1659
689	3681	1653
690	3686	1648
691	3691	1642
692	3695	1636
693	3699	1631
694	3704	1625
695	3709	1620
696	3714	1614
697	3719	1609
698	3724	1603
699	3728	1597
700	3733	1592
701	3738	1586
702	3741	1580
703	3745	1574
704	3749	1569
705	3754	1563
706	3758	1557
707	3762	1551
708	3767	1546
709	3772	1540
710	3776	1534
711	3779	1528
712	3785	1523
713	3788	1517
714	3793	1512
715	3799	1507
716	3803	1501
717	3807	1495
718	3811	1489
719	3817	1484
720	3821	1478
721	3825	1473
722	3830	1467
723	3834	1461
724	3838	1456
725	3843	1450
726	3847	1444
727	3852	1439
728	3857	1433
729	3861	1428
730	3866	1422
731	3871	1417
732	3875	1411
733	3880	1406
734	3885	1400
735	3889	1395
736	3893	1389
737	3898	1383
738	3902	1378
739	3906	1372
740	3910	1366
741	3915	1361
742	3919	1355
743	3923	1350
744	3928	1344
745	3933	1339
746	3937	1333
747	3941	1327
748	3947	1322
749	3951	1317
750	3954	1311
751	3959	1305
752	3963	1300
753	3966	1294
754	3970	1288
755	3974	1282
756	3978	1277
757	3982	1271
758	3986	1265
759	3991	1260
760	3995	1254
761	3999	1249
762	4003	1243
763	4008	1238
764	4012	1232
765	4016	1227
766	4020	1221
767	4025	1216
768	4029	1210
769	4033	1204
770	4037	1199
771	4042	1193
772	4046	1188
773	4050	1182
774	4054	1177
775	4058	1171
776	4062	1165
777	4066	1160
778	4071	1155
779	4076	1149
780	4082	1144
781	4088	1139
782	4093	1134
783	4098	1129
784	4105	1124
785	4109	1119
786	4114	1113
787	4119	1108
788	4124	1102
789	4129	1097
790	4133	1092
791	4138	1086
792	4143	1081
793	4147	1076
794	4153	1071
795	4158	1065
796	4163	1060
797	4168	1055
798	4173	1049
799	4178	1044
800	4183	1039
801	4188	1033
802	4192	1028
803	4197	1023
804	4202	1018
805	4206	1012
806	4211	1007
807	4216	1001
808	4220	996
809	4224	990
810	4229	985
811	4233	980
812	4237	974
813	4241	969
814	4247	964
815	4251	958
816	4255	953
817	4259	947
818	4264	942
819	4268	936
820	4272	931
821	4276	926
822	4282	920
823	4287	915
824	4291	910
825	4295	904
826	4300	899
827	4304	894
828	4307	888
829	4312	883
830	4317	878
831	4321	872
832	4325	867
833	4330	861
834	4334	856
835	4338	851
836	4343	845
837	4348	840
838	4351	835
839	4356	829
840	4360	824
841	4365	819
842	4369	813
843	4373	808
844	4378	803
845	4382	797
846	4387	792
847	4391	787
848	4396	781
849	4401	776
850	4406	771
851	4411	766
852	4416	761
853	4423	756
854	4428	750
855	4433	745
856	4439	740
857	4445	735
858	4450	730
859	4455	725
860	4462	720
861	4467	715
862	4473	710
863	4478	704
864	4483	699
865	4489	694
866	4494	689
867	4500	684
868	4507	679
869	4512	674
870	4517	669
871	4526	664
872	4532	659
873	4539	654
874	4545	649
875	4550	644
876	4556	639
877	4561	633
878	4566	628
879	4571	623
880	4577	618
881	4583	613
882	4589	608
883	4594	602
884	4599	597
885	4604	592
886	4609	587
887	4614	582
888	4622	577
889	4627	571
890	4634	566
891	4639	561
892	4644	556
893	4648	551
894	4653	545
895	4656	540
896	4660	535
897	4666	530
898	4670	524
899	4674	519
900	4678	514
901	4683	508
902	4687	503
903	4691	498
904	4695	492
905	4699	487
906	4703	482
907	4708	477
908	4712	471
909	4716	466
910	4720	461
911	4724	455
912	4729	450
913	4733	445
914	4737	440
915	4741	434
916	4746	429
917	4750	424
918	4754	419
919	4758	413
920	4763	408
921	4768	403
922	4771	398
923	4775	392
924	4781	387
925	4784	382
926	4788	377
927	4793	371
928	4797	366
929	4801	361
930	4805	356
931	4810	350
932	4815	345
933	4819	340
934	4823	335
935	4828	330
936	4833	324
937	4837	319
938	4842	314
939	4846	309
940	4850	304
941	4854	298
942	4859	293
943	4864	288
944	4868	283
945	4872	278
946	4878	273
947	4882	267
948	4887	262
949	4893	257
950	4898	252
951	4902	247
952	4909	242
953	4914	236
954	4919	231
955	4925	226
956	4930	221
957	4934	216
958	4940	211
959	4945	206
960	4949	200
961	4956	195
962	4961	190
963	4966	185
964	4972	180
965	4977	175
966	4981	170
967	4987	164
968	5007	160
969	5012	155
970	5017	149
971	5023	144
972	5029	139
973	5033	134
974	5038	129
975	5043	124
976	5046	118
977	5051	113
978	5056	108
979	5059	103
980	5063	98
981	5068	92
982	5073	87
983	5077	82
984	5081	77
985	5086	72
986	5091	67
987	5095	61
988	5100	56
989	5105	51
990	5109	46
991	5114	41
992	5118	36
993	5122	30
994	5126	25
995	5131	20
996	5135	15
997	5139	10
998	5143	5
999	5148	0
